objname,ra2000,de2000,t,type,v,logd25,d25,bt,incl,col10,_r,_RAJ2000,_DEJ2000,WISE,RAJ2000,DEJ2000,eeMaj,eeMin,eePA,W1mag,e_W1mag,W2mag,e_W2mag,W3mag,e_W3mag,W4mag,e_W4mag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,cntr,snr1,chi2W1,snr2,chi2W2,snr3,chi2W3,snr4,chi2W4,nb,na,sat1,sat2,sat3,sat4,ccf,ex,var,nW1,mW1,nW2,mW2,nW3,mW3,nW4,mW4,2Mkey,d2M,name,semimaj_arcsec,axial_ratio,pos_angle,dist
NGC4488,187.71405,8.36011,0,S0-a,984,1.44,2.754229066,13.08,90,,4.90E-05,187.714098,8.360098,J123051.38+082136.3,187.714098,8.360098,0.08,0.077,138,11.088,0.023,11.263,0.023,10.484,0.086,8.539,0.297,13.847,0.128,13.378,0.168,12.993,0.13,1.88E+18,47.8,64.8,47.1,19.9,12.6,1.13,3.7,0.985,1,0,0,0,0,0.009,0,5,520n,73,22,22,21,22,8,14,2,871810320,0.055,NGC4488,265.5096859,2.297759646,97.10310668,8.05
NGC4469,187.3668,8.74994,0.2,S0-a,586,1.46,2.884031756,12.37,85.5,,3.15E-04,187.366884,8.750244,J122928.05+084500.8,187.366884,8.750244,0.06,0.058,180,9.779,0.022,9.705,0.019,7.306,0.017,5.317,0.03,12.719,0.113,11.961,0.145,11.202,0.071,1.87E+18,48.7,66.3,56.7,39.5,63.3,18.9,36.6,1.83,1,0,0,0,0,0,0,5,9120,-94,27,27,27,27,9,9,14,871778826,0.415,NGC4469,304.5857481,2.966754978,-1.931707301,16.75
NGC5689,218.8737,48.74147,0.4,S0-a,2168,1.56,3.630780069,12.74,90,,1.68E-04,218.873888,48.741584,J143529.73+484429.7,218.873888,48.741584,0.064,0.061,147,9.354,0.022,9.324,0.02,8.008,0.017,6.697,0.053,11.272,0.034,10.461,0.039,10.197,0.034,2.18E+18,48.9,51,54.1,36.8,63,6.55,20.6,1.24,1,0,0,0,0,0,0,5,9711,0,23,23,23,23,21,21,18,611735209,0.067,NGC5689,223.9039608,2.845201449,-4.763670672,35.60
NGC2992,146.4252,-14.32638,0.9,Sa,2310,1.47,2.951209421,13.06,90,,3.88E-04,146.424815,-14.326273,J094541.95-141934.5,146.424815,-14.326273,0.027,0.027,128,9.03,0.023,8.626,0.019,5.017,0.015,2.351,0.022,12.095,0.093,11.209,0.113,10.412,0.054,1.46E+18,46.2,33.3,58.7,17.3,73.9,14,49.8,1.35,1,0,0,0,0,0,0,5,9231,-123,20,20,20,20,11,11,13,1214869917,0.241,NGC2992,211.4895331,2.805350179,100.6464221,31.60
NGC3190,154.52625,21.83272,0.9,Sa,1323,1.56,3.630780069,11.88,87.8,,0.002601,154.523497,21.832238,J101805.63+214956.0,154.523497,21.832238,0.056,0.055,128,8.538,0.023,8.49,0.021,6.278,0.015,4.761,0.024,10.669,0.037,10.17,0.059,9.696,0.043,1.55E+18,46.3,46.8,52.3,31.8,74.4,31.4,45.4,5.65,1,0,0,0,0,0,0,5,9871,87,18,18,18,18,18,18,18,157989971,0.141,NGC3190,223.7200624,1.603036501,28.10403572,24.35
NGC4235,184.2912,7.19157,1,Sa,2423,1.64,4.365158179,12.61,90,,9.40E-05,184.29125,7.19165,J121709.89+071129.9,184.29125,7.19165,0.029,0.029,92,9.57,0.024,9.217,0.02,7.087,0.015,5.032,0.03,12.492,0.107,11.732,0.139,10.998,0.058,1.85E+18,45.7,45.3,54.8,18.4,72.7,1.87,36.1,0.958,1,0,0,0,0,0,0,5,9110,-82,14,14,14,14,13,13,13,864439214,0.428,NGC4235,282.2899242,3.697657925,-39.13558912,24.97
NGC1808,76.9263,-37.51296,1.2,Sa,1002,1.73,5.3703182,10.83,83.9,,2.67E-04,76.926636,-37.512975,J050742.39-373046.7,76.926636,-37.512975,0.043,0.042,70,7.456,0.023,7.052,0.02,2.151,0.009,-0.627,0.014,11.024,0.127,10.234,0.177,9.582,0.124,7.76E+17,48.1,59.6,54.5,49.4,116.4,27.9,78,24.1,1,0,0,0,0.103,0,dd00,5,9999,11,42,42,42,42,41,41,41,208819795,1.022,NGC1808,435.7989916,1.869175668,34.42544642,10.39
NGC4419,186.73545,15.04726,1.2,Sa,805,1.59,3.890451749,11.99,84.5,,2.84E-04,186.735241,15.04746,J122656.45+150250.8,186.735241,15.04746,0.052,0.047,134,8.798,0.023,8.617,0.02,5.057,0.015,2.216,0.016,11.059,0.041,9.924,0.031,9.912,0.038,1.86E+18,48,61.6,54.8,38.7,74,9.78,67.1,2.43,1,0,0,0,0,0,0,5,8271,111,15,15,15,15,15,15,15,464545089,0.311,NGC4419,174.2768612,1.482872232,45.92677096,17.00
NGC4586,189.6183,4.31902,1.2,Sa,785,1.54,3.4673682,12.59,86.2,,2.02E-04,189.618427,4.319178,J123828.42+041909.0,189.618427,4.319178,0.065,0.062,139,10.024,0.022,10.007,0.02,8.063,0.021,6.505,0.063,12.58,0.091,11.738,0.111,11.167,0.057,1.90E+18,49.7,50.2,55,26.7,51.7,8.78,17.2,1.2,1,0,0,0,0,0,0,5,3110,0,12,12,12,12,12,12,10,870138657,0.081,NGC4586,271.0202776,3.132446593,23.99890368,16.30
NGC5506,213.31185,-3.20762,1.2,Sa,1819,1.46,2.884031756,12.81,90,,1.81E-04,213.312029,-3.207649,J141314.88-031227.5,213.312029,-3.207649,0.051,0.047,157,7.399,0.027,6.244,0.019,3.692,0.015,1.068,0.014,12.072,0.05,10.434,0.044,9.037,0.024,2.13E+18,40.1,1.63,56,1.62,70.4,2.79,76.7,1.6,1,0,0.043,0.041,0.003,0,0,4,6213,-60,27,27,23,23,16,16,27,272773092,0.235,NGC5506,173.0723321,1.834414869,-5.141937139,23.83
NGC3448,163.66425,54.30515,1.8,Sab,1372,1.47,2.951209421,12.42,90,,7.73E-04,163.663268,54.305669,J105439.18+541820.4,163.663268,54.305669,0.05,0.048,108,10.525,0.02,10.259,0.018,6.221,0.013,3.18,0.02,13.307,,13.555,0.134,11.986,,1.63E+18,55.1,114,59.2,48.3,80.5,26,55,13.7,1,0,0,0,0,0.006,0,5,6169,0,15,15,15,15,15,15,15,825634179,1.236,NGC3448,141.7474085,1.876299513,-26.87736299,24.50
NGC4312,185.63055,15.53786,2,Sab,152,1.7,5.011872887,12.53,90,,5.57E-04,185.630208,15.538309,J122231.24+153217.9,185.630208,15.538309,0.055,0.052,120,10.42,0.022,10.192,0.02,6.293,0.013,4.461,0.028,13.033,,12.116,,12.775,0.158,1.86E+18,50.2,91.4,55.6,53.5,81.8,51.1,39.1,11,1,0,0,0,0,0,0,5,2139,111,14,14,14,14,14,14,14,1053251888,1.649,NGC4312,264.6114395,3.144126767,79.87555539,10.70
UGC08032,193.68405,13.2371,2,Sab,1119,1.43,2.691534479,14.3,90,,4.86E-04,193.684037,13.237586,J125444.16+131415.3,193.684037,13.237586,0.079,0.076,112,11.842,0.024,11.826,0.024,9.008,0.028,7.106,0.091,14.036,,13.862,0.06,12.823,,1.94E+18,45.6,62.9,45.1,19.9,38.8,4.11,12,1.53,1,0,0,0,0,0,0,5,3111,0,13,13,13,13,13,13,7,156408215,0.96,UGC08032,157.6653069,2.028688477,77.69335054,14.10
NGC4313,185.66055,11.80084,2.1,Sab,1437,1.58,3.801894339,12.61,90,,3.40E-05,185.660585,11.80084,J122238.54+114803.0,185.660585,11.80084,0.061,0.059,36,9.99,0.023,9.962,0.02,7.182,0.016,5.456,0.034,12.78,0.095,11.882,0.097,11.515,0.083,1.85E+18,46.3,60.1,53.6,35,68.4,30.5,32.4,6.79,1,0,0,0,0,0,0,5,9350,87,14,14,14,14,14,14,14,864549811,0.31,NGC4313,277.8909888,2.917725718,49.29638634,14.62
NGC4445,187.0665,9.43629,2.1,Sab,343,1.4,2.511886294,13.59,90,,1.78E-04,187.066541,9.436463,J122815.96+092611.2,187.066541,9.436463,0.073,0.072,147,11.363,0.023,11.479,0.023,8.833,0.024,6.753,0.059,14.777,0.207,12.646,,12.444,,1.87E+18,47.9,74.8,47.2,25,45.7,5.63,18.5,1.56,1,0,0,0,0,0,0,5,1212,-94,25,25,25,25,16,16,15,864669939,0.599,NGC4445,151.2407707,1.88080385,12.6733004,17.77
NGC4845,194.505,1.57587,2.3,Sab,1106,1.74,5.495408859,12.14,90,,1.44E-04,194.505035,1.57573,J125801.20+013432.6,194.505035,1.57573,0.05,0.046,161,9.144,0.023,8.838,0.02,5.197,0.014,3.049,0.016,11.95,0.063,11.083,0.097,10.277,0.053,1.95E+18,47.7,42.9,55.2,30.8,77.2,41.7,65.9,9.97,1,0,0,0,0,0,0,5,5192,29,16,16,13,13,13,13,13,882154349,0.178,NGC4845,290.1672528,3.443288303,-10.36373959,19.50
